id;model_1_answer;model_2_answer;vote_timestamp
1;scoff outrun eventually;eek train dramatize;2025-03-31T21:07:53
2;political scarily solder;abscond;2025-04-01T03:02:01
3;er barring;quietly blaspheme;2025-04-01T02:35:47
4;reporter barring;yippee blissfully monthly;2025-03-31T16:54:33
5;playfully until traduce;yet;2025-04-01T13:51:35
6;candid championship diligently;tenement;2025-03-31T22:07:05
7;whenever;failing brr finally;2025-04-01T10:12:53
8;enchanted;plump claw rigidly;2025-03-31T16:19:47
9;repeatedly develop;wound meh;2025-04-01T03:30:12
10;whoever bug;notwithstanding gaseous now;2025-04-01T00:40:51
